City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Arraial Do Cabo,BR,67.86,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
4,Rikitea,PF,74.35,light rain,-23.1203,-134.9692,People ThankYou
6,Kavieng,PG,81.9,clear sky,-2.5744,150.7967,Nusa Island Retreat
7,Lata,PT,77.81,clear sky,40.1629,-8.3327,Casa Maquia
14,Kijang,KR,65.93,clear sky,35.2442,129.2139,Samyang Beach Villa
19,Yellowknife,CA,66.72,scattered clouds,62.456,-114.3525,The Explorer Hotel
21,Mahebourg,MU,73.69,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
23,Atakpame,TG,72.95,overcast clouds,7.5333,1.1333,Hôtel Luxembourg Atakpame
24,Saint-Philippe,RE,67.59,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
25,Kapaa,US,78.78,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
27,Hithadhoo,MV,83.71,light rain,-0.6,73.0833,Scoop Guest House
28,Albany,US,77.92,overcast clouds,42.6001,-73.9662,
31,Dingle,PH,76.6,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
32,Kirakira,SB,78.4,clear sky,-10.4544,161.9205,SanBiz Lodge
33,Vanimo,PG,76.51,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
34,Jamestown,US,74.01,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
36,Valle De San Juan,CO,77.18,broken clouds,4.1987,-75.1173,Hostal Bety
39,Portland,US,66.78,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
40,Trabzon,TR,66.29,scattered clouds,40.9167,39.8333,SANDALS HOTEL
41,Kahului,US,80.62,few clouds,20.8947,-156.47,Maui Seaside Hotel
42,Carnarvon,AU,70.47,clear sky,-24.8667,113.6333,Hospitality Carnarvon
47,Victoria,HK,80.65,overcast clouds,22.2855,114.1577,Mini Central
50,Puerto Ayora,EC,76.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
51,Kasongo-Lunda,CD,70.43,clear sky,-6.4667,16.8167,
52,Alofi,NU,73.29,broken clouds,-19.0595,-169.9187,Taloa Heights
57,Gamba,GA,75.63,clear sky,-2.65,10.0,
58,Caravelas,BR,75.83,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
59,East London,ZA,68.94,clear sky,-33.0153,27.9116,Tu Casa
60,Buchanan,LR,78.01,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
63,Shelburne,CA,73.9,scattered clouds,44.0787,-80.2041,The Retreat at the Farm
64,Bethel,US,77.14,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
65,Yueyang,CN,72.7,overcast clouds,29.3333,113.0919,Delong Fortune Hotel
66,Tuy Hoa,VN,77.29,broken clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
67,Aripuana,BR,79.79,light rain,-9.1667,-60.6333,
68,Tura,IN,73.92,light rain,25.5198,90.2201,Hotel RIKMAN Continental
70,Sao Filipe,CV,73.49,few clouds,14.8961,-24.4956,Hotel Xaguate
72,Tsalenjikha,GE,68.49,clear sky,42.6044,42.0682,Toba Guest House
73,Butaritari,KI,81.52,broken clouds,3.0707,172.7902,Isles Sunset Lodge
74,Ponta Do Sol,PT,75.7,clear sky,32.6667,-17.1,Hotel do Campo
75,Cape Town,ZA,70.12,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
78,Ambon,ID,77.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
79,Souillac,MU,73.78,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
81,Faya,SA,77.52,clear sky,18.3851,42.4509,املاك خالد الشعشوع
84,Mabaruma,GY,84.2,broken clouds,8.2,-59.7833,Monty Brooms Guest House
85,Waingapu,ID,75.87,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
86,Pisco,PE,65.01,mist,-13.7,-76.2167,Hotel San Isidro Oficial
88,Guerrero Negro,MX,76.75,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
89,Beloha,MG,67.57,clear sky,-25.1667,45.05,
91,Seoul,KR,65.8,clear sky,37.5683,126.9778,롯데호텔 서울
94,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
98,Sukhumi,GE,70.92,clear sky,43.0033,41.0153,Leon Boutique Hotel
108,Otradnoye,RU,66.25,few clouds,59.7775,30.8181,Baza otdikha Petrushinsky Khutor
109,Tautira,PF,78.22,light rain,-17.7333,-149.15,Pension Oaoa
113,Puerto Leguizamo,CO,70.63,overcast clouds,-0.1934,-74.7819,la casona de juancho
114,Portel,BR,82.31,overcast clouds,-1.9356,-50.8211,Kitnet do Marcos
116,Fortuna,US,72.52,broken clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
117,Periyanegamam,IN,77.5,overcast clouds,10.7333,77.1,Nandhu Site
121,Wanlaweyn,SO,76.75,broken clouds,2.6185,44.8938,GAASHAAN HOME
122,Jalu,LY,81.23,clear sky,29.0331,21.5482,صاحبة الفخامة
127,Ribeira Grande,PT,68.4,few clouds,38.5167,-28.7,Quinta da Meia Eira
128,Vaini,TO,73.56,scattered clouds,-21.2,-175.2,Keleti Beach Resort
130,Eirunepe,BR,73.08,overcast clouds,-6.6603,-69.8736,Atrás de você
132,Torbay,CA,72.37,broken clouds,47.6666,-52.7314,Gallows Cove
133,Richards Bay,ZA,66.78,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
135,Sarankhola,BD,82.71,few clouds,22.3082,89.7897,Red Crescent Cyclone Shelter Rashulpur
138,Quelimane,MZ,66.15,few clouds,-17.8786,36.8883,Hotel Flamingo
141,Lillooet,CA,69.3,few clouds,50.6856,-121.942,Hotel Victoria
153,Palasa,IN,81.82,overcast clouds,18.7667,84.4167,Balaji tifen & meals veg & non veg hotel
158,Bambous Virieux,MU,73.65,broken clouds,-20.3428,57.7575,Casa Tia Villa
160,Stonewall,CA,76.78,broken clouds,50.1344,-97.3268,Rockwood Motor Inn & Motel
163,Gardez,AF,67.39,overcast clouds,33.5974,69.2259,Gardezi Home
